padawan_id,first_name,last_name,email,active,gender,birthday,created_by_coach_id
1,Вася,Дрыщ,tell@mail.com,true,MALE,1978-02-22,1
2,Мега,Кач,ya@mail.com,true,FEMALE,1978-02-22,2
3,LADA,CUBE,lada@mail.com,true,FEMALE,1978-02-22,1
4,TEST,TEST,test@mail.com,true,MALE,1978-02-22,1
5,GALINA,IVANOVNA,galina@mail.com,true,FEMALE,1978-02-22,1
6,PUZ,BOLSHOI,puz@mail.com,true,MALE,1978-02-22,1
7,MOBY,DICK,moby@mail.com,true,MALE,1978-02-22,1
8,LENA,GOLOVACH,lena@mail.com,true,FEMALE,1978-02-22,1
9,BICEPS,MR,biceps@mail.com,true,MALE,1978-02-22,1
10,ZAL,YOPTA,zal@mail.com,true,MALE,1978-02-22,1
11,ZACK,GALAPHIANAKIS,zack@mail.com,true,MALE,1978-02-22,2
12,MILLA,KUNISH,kunish@gmail.com,true,FEMALE,1978-02-22,3
13,TOR,ODINCOV,tor@olimpus.com,true,MALE,1978-02-22,2
14,ZMEY,GORINICH,gorinich@klubok.com,true,MALE,1978-02-22,3
